ref,text
In the beginning God created the heavens and the earth.,"Ahyɛaseɛ ne, Nyameɛ bɔle anwuro ne aseɛ."
"The earth was barren, with no form of life; it was under a roaring ocean covered with darkness. But the Spirit of God was moving over the water. The First Day",Né aseɛ te sesakaa bɔ olle bɔbea biala ɔ. Né awosii akata buma ne anye; na né Nyameɛ Sunzum natenate nzue ne anyeso faa.
"God said, “I command light to shine!” And light started shining.","Na Nyameɛ hane kyɛ, “Ɔ́ta hyireinn!” Na ɔtale hyireinn."
God looked at the light and saw that it was good. He separated light from darkness,"Nyameɛ nwuni kyɛ hyireinn ne te paa, na ɔtele hyireinn ne fili awosii ne anwo."
"and named the light “Day” and the darkness “Night.” Evening came, then morning—that was the first day. The Second Day","Nyameɛ tole hyireinn ne dumaa Alehyeleɛ, yeɛ ɔtole awosii ne dumaa Alesaleɛ. Aleɛ sane, na aleɛ hyene: kyẽa bɔ oli moa ɛne."
"God said, “I command a dome to separate the water above it from the water below it.”","Na Nyameɛ hane kyɛ, “Ewienu bra, na ɔɔtete nzue nemɔ anu!” Na ɔwale nu sɔ."
And that's what happened. God made the dome,"Nyameɛ yɔle ewienu, na ɔtele nzue bɔ ɔwɔ ewienu bo fili bɔ ɔwɔ ewienu anwuro nwo."
"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day","Nyameɛ tole ewienu ne dumaa Anwuro. Aleɛ sane, na aleɛ hyene: kyẽa bɔ ɔtɔ so nyɔ ɛne."
"God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened.","Na Nyameɛ hane kyɛ, “Nzue bɔ ɔwɔ ewienu bo ne, ɔ́boa ye noa neka horɛ, na aseɛ wosee bra!” Na ɔwale nu sɔ."
"God named the dry ground “Land,” and he named the water “Ocean.” God looked at what he had done and saw that it was good.","Nyameɛ tole nekaa wosee ne dumaa Aseɛ, yeɛ nzue bɔ ye noa aboa ne koso, ɔtole ye dumaa Ɛpo. Na Nyameɛ nwuni kyɛ ɔte paa."
"God said, “I command the earth to produce all kinds of plants, including fruit trees and grain.” And that's what happened.","Na Nyameɛ hane kyɛ, “Aseɛ ófifi ndire, mmakaa bɔ osu mmaa, ɔne mmakaa bɔ ye mma wɔ ye aleɛ nu, ebiala kyɛbɔ ye sue si te ɔ wɔ aseɛ so!” Na ɔwale nu sɔ."
