Title,Content,URL
YELA 1,"Yela tɔn loɡle
(Yela 1—41)
1Nɛra baa wola nɛnchɔɡa
we-ɛɛla ta teŋɛ,
baa wola waa
wechɔɡ-ɛɛra aa dɛ ɛ ɛ,
kɛɛ baa wola banɔ la
baa dɛ mamɛ
Korowii nɛɛ jae la,
ba na som.
2Ba sie dɛ lɛ Korowii waa ta,
dɛɛ hweli o Mmara la
chɔɔ ne jwaana.
3Ba do kɛŋɔ daa
baa duu
bela waa sɔna,
saŋ bɛlbwa o dɛ nɔnɛ
o saŋ ta,
o papooni ɡe aa chure bwa.
A ɡɛ nɛra la wobɛlbwa
baa ɛ dɛ́ do wer.
4Gɛ laa nɛnchɔɡa la te do,
ba waa do kɛŋɔ haahra,
peu yon ta
dɛ́ kaa ane la ken.
5Awola tɔpere Korowii
aa bol nɛra waa la,
nɛnchɔɡa aa won che o sie,
baa nɛra ba wa
aa toɡra nɛɛ ja.
6Korowii dɛ nyiŋi nɛra
ba wa aa toɡra nɛ,
kɛ nɛnchɔɡa ŋwɛnɛre te,
a dɛ kaa ba ne seo ta.",https://www.bible.com/bible/2012/PSA.1.MZW
YELA 2,"Kooro Korowii aa leo cheɡ tɛ o te
1Ɛrɛɛ harɛre nɛra baa wola
Korowii tomɛ,
lɛ ɡaeh, dɛɛ le jina
dɛɛ koh ba te pɛɛ nɔɔ?
2Ba koranar kpɔ ba te,
dɛ ir che dɛɛ vɔrɔwe
Korowii ne o kooro
waa leo la vɔrɔwa.
3Ba ŋɔ, “Hé ɡel ya lɛ ya te
le ba lɔɡa,
ásɛ ba bɛ won di kpeɡri
ya nɛ.”
4Korowii soɡe o kookara ta
nyundua dɛɛ mam ba,
ba waa ɛ wesale o be.
5O bol waa baɡ ba
bandia kohona ne,
dɛ aah ba ŋɔ,
6“N cheɡ n kooro
n deŋɡare waa do ɡoroŋ
Saayɔn ta.”
7Kooro la ŋɔ,
“Mɛɛ bol waa Korowii
aa bola la waa.
O ŋɔ n be ŋɔ, ‘N Biee hen,
fini n berɛ he Mɛɛ.
8Soŋ mɛ, mɛɛ kpɔ
harɛre bwaa tɛɛ.
9Hɛɛ di kora ba nɛɛ kpeɡri ne,
hɛɛ pɔ ba nɛɛ dɛ́ ɛɛ ba kɛŋɔ,
ba yon paɡre
vii burbur la ken.’ ”
10Anomanta, koranar,
hé hweli wa,
harɛre nomonome,
hɛ́ɛ nyiŋi kɛrɛdɛ.
11Hɛ́ɛ ɔmɛ Korowii dɛɛ tomɔ,
hé charɛ he liire,
dɛ́ ba he te ne harɛ.
12Hé kpɔ he te tɛ Korowii
bie la,
ásɛ o baah bɛ di
dɛ́ chɔɡ heya.
O baah won dii saŋ bɛlbwa.
Nɛra baa chwaa
kaa marɔ la bwa,
ba na som.",https://www.bible.com/bible/2012/PSA.2.MZW
YELA 3,"Saŋ Kooro Devid aa chwaa le o bibaa Absalɔm be
Kooro Devid yel
1N Naa Korowii, n dɔma warɔ,
ba warɔ dɛ che n nɛ.
2Dɔma la ɡalɡa
dɛ bol n waa ŋɔ,
“Korowii aa on lɛɛ ba.”
3N Naa Korowii,
henee dɛɛ tɔ mɛ ɡbemɡbe.
N Naa Korowii,
henee tɛ mɛ jirima,
dɛ ɡel n dɔ hwɛɡa.
4N wio no Korowii takpeɡ ne,
asɛ o no n be o deŋɡare
waa do ɡoroŋ la ta.
5N dɛ chɔ dɛ́ chɔ dom kɛrɛdɛ,
dɛ́ ir ja, dɛkalkɛŋɔ
Korowiirii dɛɛ nyiŋi n nɛ.
6N dɔma warɔ ɡɛ bɛlbwa
kwaraa naa, maa ɔmɛ.
7N Naa Korowii maa dɛ tomɛ,
ir nyu ne dɛ́ lɛɛ mɛ!
N Naa Korowii,
sɔɔh n dɔma nyoa.
8N Naa Korowii,
henee dɛɛ lɛ nɛra,
swee andɛɛɡa tɛ he nɛra.",https://www.bible.com/bible/2012/PSA.3.MZW
YELA 4,"Jɔmɔra chae wesoŋa
Kooro Devid yel
1N Naa Korowii, he waa toɡrɔ,
no n wesoŋa saŋ bɛlbwa.
Lɛɛ mɛ le n wahala ta,
na n sum, dɛ́ no n wesoŋa.
2Saŋ besoo he nɛra haa
dɛ chɔɡ mɛ la ɛɛ ba ɡela ɔ?
Saŋ besoo hɛɛ ba waa
aa ɛ wepuu, ne nyosone
waa ta teŋa ɡela ɔ?
3Hé jemɛ kɛŋɔ Korowii le nɛn,
o wa aa toɡra tɛ o te biɡri.
Saŋ bɛlbwa maa wi noo la,
o dɛ no.
4He bɛ ɡel he baah di
bandichɔɡa he ɛ wechɔɡa,
he ka chɔ dɛ lii a wa,
saŋ haa chɔ he kalaŋre
ta la.
5He ɛ sarahare Korowii
aa ŋɔa la
ásɛ dɛɛ yaradao.
6Nɛra warɔ dɛɛ soŋe ŋɔ,
“Umee dɛ́ won ɡel
yá dɔ wedɛɛɡa ɔ?”
N Naa Korowii, na ya sum.
7He ɡelɔ n dɔ silɛɛ kohona,
ɡwaa silɛɛ nɛra yon dɔ,
ɡɛ saŋ mea ne sen yon bu
ba nɛɛ la.
8Mɛɛ chɔ domii
deŋnesɔɔhna ne,
dɛkalkɛŋɔ hen Korowiirii
kpɔ nɔn dɛɛ tɔ n nɛ.",https://www.bible.com/bible/2012/PSA.4.MZW
YELA 5,"Korowii nɔn kpɔe dɛ́ tɔ nɛn nɛɛ wesoŋa
Kooro Devid yel
1N Naa Korowii, cheɡ deŋne
dɛ́ no n wesoŋa,
dɛ́ no n hima
maa dɛ hime nɔ.
2No n wii maa wia
dɛɛ noe nɔ dɛ́ cha mɛ,
henee n kooro ne Korowii
maa dɛ tomɛ,
henee mɛɛ soŋe.
3N Naa Korowii, chɔɔ bɛlbwa
he dɛ no n taa.
Chɔɔbɔr n kpɔ n wesoŋa
dɛɛ bil he sie,
dɛɛ kpa ɡɛ haa chaŋ mɛ.
4N Naa Korowii, he sie
aa wechɔɡa ta lɛ,
nyubinikpeɡ tena
aa won ba he be.
5Mbarafo tena
aa won che he sie,
he hah nɛra
baa dɛ ɛ wechɔɡa.
6He dɛ chɔɡ nɛra
baa dɛ teŋe nyosone,
he hah nɛra
baa dɛ kpoo nɛra,
ne nɛra baa dɛ neɡre nɛra.
7Kɛ n te, he nyina
haa dɛ nyin mɛ kohona
nomanta,
mɛɛ won ba he Dea
dɛ́ ba ɡuŋi, dɛɛ tomɛ
he Dea waa do ɡoroŋ
ta ɔmee ne.
8N Naa Korowii,
n dɔma warɔ kɛrɛdɛ!
Tɔ n sie ń ɛ anɔ la
aa too he tea,
ɡel n na he wa dɛɛ teŋɛ a ta.
9Wobol aa le ba nyoo
dɛɛ ba bwa ɛ nyosone,
ba pɛla waa bwaa nɛra chɔɡa.
Nɛra neɡra dɛ́ kpoo ba
ɡboo lɔ ba nyu bini,
nɛra ɡboo baa neɡre.
10N Naa Korowii,
pa ba bole
dɛ́ tɛr ba deŋne,
ɡel ba ɡbaɡba waa
baa vɔrɔwa ɡure ba nyu ta.
Doŋ ba le he sie,
ba wechɔɡa kohona
ne ba deŋnekpeɡ
baa dɛ ɛɛ la wa.
11Gel nɛra baa chwaa
baa marɛ sie lɛ,
baa wonoo ɡo yela
saŋ bɛlbwa ba sie lɛ.
Kpɔ nɔn tɔ ba nɛ,
ásɛ nɛra he wa aa lɔ
ba bambile ta la sie lɛ.
12Kpela, Korowii
he ɡelɔ nɛra ba wa
aa toɡra na som.
He nyina haa dɛ nyin ba la
tɔ ba ɡbemɡbe,
dɛ bar ba cheme.",https://www.bible.com/bible/2012/PSA.5.MZW
YELA 6,"Nɛn waa lɔ wekpeɡa ta chae wesoŋa
Kooro Devid yel
1N Naa Korowii,
bɛ ɡel he baah di
hé pwaah mɛ,
bɛ ɡel he baah di kohona
hé tɛr n deŋne.
2N Naa Korowii, n ɡwɛɡrɔ,
n poori, na n sum.
N hoɡa bini bwa
dɛ wee mɛ, chaah mɛ.
3N bwadabii bwa
dɛ wee mɛ taeh.
N Naa Korowii, saŋ besoo
he ba cha mɛ nɔ?
4N Naa Korowii, ba lɛɛ mɛ.
Che he nyina
aa wola jaɡa dɔe la ta,
dɛ́ lɛɛ mɛ le seo ta.
5Nɛn sewaa,
waa he waa lii kpa.
Umee dɛɛ kpɛɛre
lalabwɛ ɔ?
6N pɛmɔ dɛ ba koh,
jwaana bɛlbwaa n sinii
ɛɛ yɔɔ mɛ kalaŋ ta,
dɛɛ pweh n kapuri bwa!
7Maa na kɛrɛdɛ kpa,
wii dɔma aa ɡela
mɛɛ wi nomanta.
8Wechɔɡ-ɛɛra, hé le n sie!
N Naa Korowii, no n wii.
9O no n suna wii,
wɛɛ sɛh n bee.
10Sihiih ɛɛ kpo n dɔma bwaa
ba bwara yɔr,
ásɛ Korowii ɡel ba berɛ,
dɛ́ den kpɔ baŋaɡola kaa.",https://www.bible.com/bible/2012/PSA.6.MZW
YELA 7,"Waa soŋa aŋwɛnɛ ta
Kooro Devid yel
1N Naa Korowii,
n chwao baa marɛ.
Lɛɛ mɛ dɛ́ kpɔ nɔn tɔ n nɛ,
dɛ́ le nɛra baa cheɡɛ
n nɛɛ nɔn ta,
2ásɛ ba bɛ n bini peeɡe
kɛŋɔ nyujente,
dɛ́ toɡri n bini nomɛlbwa
aa wola won lɛɛ mɛ.
3N Naa Korowii,
dɛ n ɛ nomɛlbwa wechɔɡa,
dɛ di a bolchɔɡe,
4dɛ n ɛ nɛn n ne waa soma
wechɔɡa,
kɛɛ dɛ ɛ nɛn waa cheɡɛ
n nɛɛ wechɔɡa pɛɛpɛɛ aa,
5ate, tɛ n dɔm ŋwɛnɛ
ó dɔɔ mɛ lawɛ,
dɛ́ kpo mɛ bil,
ásɛ n sewɛ chɔ.
6N Naa Korowii,
ɡel he baah di.
Kpɔ ba che n dɔma
ba baah aa di n nɛɛ
kohona la nɛ.
Ir nyu ne tɛ mɛ, dɛ́ pa bole.
7Gel harɛre nɛra bare cheme
he do nyundua
dɛ́ di kora ba nɛ.
8Henee bol nɛwɛnyina bwa
waa dɛɛ pa bole.
Nemenɛ Korowii, cha mɛ,
dɛ́ bol n waa tɛ mɛ.
He jemɔ kɛŋɔ n tea too.
9N Naa Korowii, he waa toɡrɔ,
he jemɛ nɛwɛnyini
bambile bini,
ne o liire bwa wa.
Gel nyubinikpeɡ tena
naɡrenyin waa bwa
ba a jaɡa, dɛ́ ɡel
nɛra ba wa aa toɡra do le.
10Nemenɛ Korowiirii dɛɛ tɔ mɛ
ɡbemɡbe,
on dɛɛ lɛ nɛra
baa dɛ teŋɛ o waa ta.
11Korowii dɛ bol waa
aŋwɛnɛ ta kasinteŋ ne,
dɛɛ pa wechɔɡ-ɛɛra
bolchɔɡe saŋ bɛlbwa.
12Dɛ wechɔɡ-ɛɛra la ta
ba liire charaa,
Korowii ɛɛ sar o tokobii,
dɛ́ harɛ o to kpa.
13Korowii ɛ o dɔmkwaa
anchɔɡa cheɡ, o hɛma
ɡe nyoo ɛɛ lawɛ nii,
dɛɛ kpa ɡɛ nɛra.
14Na ɡɛ wechɔɡ-ɛɛra
aa dɛ vɔrɔwe wechɔɡa!
Ba dɛ le jina
dɛɛ neɡre nɛra.
15Ba nafuɡere baa kwia la,
ba ɡbaɡbaa dɛ́ le a ta,
á laɡ ba.
16Naɡrenyin waa baa liira la
ɡure ba nɛ,
waa baa ba a ne la,
ba ɡbaɡbaa dɛ́ na a wa.
17N dɛ jam N Naa Korowii,
dɛkalkɛ o waa toɡrɔ.
Mɛɛ ɡo yelaa kpɛɛ
Nemenɛ Korowii.",https://www.bible.com/bible/2012/PSA.7.MZW
YELA 8,"Korowii Jirima ne nɛwɛnyini jirima
Kooro Devid yel
1N Naa Korowii
yaa dɛ tomɛ,
he sɔn kan harɛ nɔ ta
bobɛlbwa!
Nɛra dɛ kpɛɛre kohona,
aa tel nyundua bwa.
2Bechale ne bifola bwa
ɡo yela dɛɛ kpɛɛre
he dɔma wa,
dɛ ɡel dɔma ne
nɛra baa kpɔ waa dɛɛ bɔ
waa kem la nyoa sɔɔh.
3Dɛ n ta sie dɛ nyiŋi nyundua,
dɛ lii kwaa haa taa,
ne ɡɛ haa kpɔ korobie
ne weweela
cheɡ a chebɔra aa,
4nɛwɛnyini ɡee bɔkwa,
asɛ hɛɛ lii o waɔ?
Nɛwɛnyini ɡee bɔkwa,
hɛɛ dawɛ o waɔ?
5Tamaa kenii he ɡel
nyundua toroma ɡwaa
nɛwɛnyini,
he ɡelɔ nɛn dɔ jirima
asɛ komɛlbwa ɛɛ tɛo
duure.
6He ɡelɔ o dɔ komɛlbwa
kpeɡri a do o lɔɡa,
7peera ne nae,
dɛ kpɔɡ bini ola bwa,
8ne jumbii aa lɔ nyundua,
dɛ pɛŋa aa lɔ mpo bini,
ne komɛlbwa aa lɔ o bini
bwa.
9N Naa Korowii yaa dɛ tomɛ,
he sɔn kan harɛ nɔ ta
bobɛlbwa!",https://www.bible.com/bible/2012/PSA.8.MZW
YELA 9,"Jaama kpɔe dɛ́ tɛ Korowii o waa bola aŋwɛnɛ ta
Kooro Devid yel
1N Naa Korowii, mɛɛ kpɛɛre
n bambile bwa nee,
mɛɛ bol nyokpowaa
haa ɛa bwaa.
2He nomanta, mɛɛ ɡo
silɛɛ yelaa, dɛ́ hɛɡre.
Nemenɛ Korowii,
mɛɛ kpɛɛ he sɔnee yela ne.
3N dɔma nae naa,
dɛ ba laa berɛ,
dɛ́ choɡli dɛɛ serewe.
4He waa dɔ kasinteŋ,
dɛ bol n waa tɛ mɛ
aŋwɛnɛ ta,
he soɡe he kookara ta,
dɛ bol n waa tɛ mɛ
n di bole.
5He pa voɡtoroma bolchɔɡe,
dɛ chɔɡ nyubinikpeɡ tena,
dɛ ɡel ba sɔna
he harɛ nɔ ta kwaraa.
6Ya dɔma heo,
yaa ba waa lii kpa.
He chɔɡ ba bwɛjena,
ya soh ba waa kwaraa.
7Kɛ hen Korowii,
he dɛ di kora saŋ bɛlbwa.
He kpɔ he kookara cheɡ,
dɛɛ ba ba waa bola.
8Hɛɛ bol harɛ nɔ ta
nɛra waa a toɡre,
dɛ di kora aŋwɛnɛ ta.
9Hen Korowiirii
nɛra baa dɛ ɛɛ ba
hɔhɔrɔwa la
chwa baa marɛ.
He do kɛ dekpeɡ
waa balaa,
nɛra chwa baa jo he be.
10N Naa Korowii,
nɛra baa jemɛ kɛrɛdɛ
bwa ɛɛ yaradae,
haa banɔ la baa dɛ nyin
he bɔr la vɛh.
11Hé ɡo yela kpɛɛ Korowii
waa dɛ di kora Saayɔn.
Hé bol waa
waa ɛa harɛre nɛra bwa be.
12Hen Korowii
dɛ lii nɛra ba bwara
aa dɛ nyɛɡ ba wa,
haa wii baa dɛ wi waa soh.
He dɛ tɛr nɛra baa dɛ ɛ
ɡɛ nɛra wechɔɡa la deŋne.
13N Naa Korowii,
na ɡɛ n dɔma
aa cheɡɛ n nɛ,
dɛ ɡel n bwara ɛɛ nyɛɡ!
Sune n nɛ, dɛ́ lɛɛ mɛ
le seo ta,
14ásɛ n che Jerusalam tena
bwa sie, dɛ́ bol ba be
waa bwa haa ɛa.
Mɛɛ hɛɡroo,
lɛɛ haa lɛɛ mɛ la wa.
15Voɡtoroma kwi nafuɡe,
dɛ ɡbaɡba le o ta,
ba ɡbaɡba bel laɡ ba.
16Hen Korowii cheɡɛ bole
haa dɛ pa
a toɡre la ta,
dɛ ɡel nɛra jemɛ,
nyubinikpeɡ tena ɡbaɡba
we-ɛɛla laɡ ba.
17Seo chɔ le dɛɛ kpa
nyubinikpeɡ tena,
banee harɛre nɛra baa vɛh
hen Korowii toma la.
18Hen Korowii aa nɛra
baa wola komɛlbwa dɔe
waa soh.
He ta ɡelɛ nyaara hwɛɡa
ɛɛ ta pɛɛ bwa.
19N Naa Korowii, ir nyu ne.
Bɛ ɡel nɛwɛnyini nyiŋi
he nyubaah.
Ba voɡtoroma ne he sie,
dɛ́ pa ba bolchɔɡe.
20N Naa Korowii, aah ba,
ɡel ba jemɛ kɛŋɔ
nɛwɛnyinaa ban.",https://www.bible.com/bible/2012/PSA.9.MZW
YELA 10,"Korowii soŋa ó bol waa aŋwɛnɛ ta
1N Naa Korowii,
ɛrɛɛ n ne he baah do jaŋne
ken nɔɔ?
Ɛrɛɛ waa puu mɛ,
he sɔɔh mɛ nɔɔ?
2Nyubinikpeɡ tena mbarafo,
ba cheɡɛ nyaara nɛ,
ɡel ba liichɔɡa
ɡure ba nyu ta.
3Nyubinikpeɡ tena dɛ
maŋkura ba te
ba pɛlchɔɡa ta,
nɛra baa dɛ nyin kafo
dɛ bol
Korowii bwara wechɔɡa
dɛɛ vɛoh.
4Nyubinikpeɡ tena
waane laa Korowii wa,
ba mbarafo, dɛɛ lii kɛŋɔ,
Korowii waa ta hiaih.
5Ba we-ɛɛla bwa dɛ do wer
dɛɛ tɛɛ ba,
baa ŋwɛnɛ Korowii
aa cheɡɛ o ta,
dɛɛ pa bole mun no,
dɛɛ mamɛ ba dɔma.
6Ba dɛ lii ba nyu bini ŋɔ,
ba wobɛlbwa ɛɛ do werii
dɛɛ tɛɛ ba, wobɛlbwa
aa ban pu bwa ɡe.
7Nɛra taahna ne nɛra neɡra,
dɛ nɛra aahra
ɡboo ba bwa,
wobochɔɡa ne musuwaa
ɡboo baa bol.
8Ba yon sɔh bwɛjeɡre dahare,
dɛ́ pɛɡle dɛɛ kpaah nɛra
baa wola nomɛlbwa dɔe
ó lɛɛ ba, dɛ́ kpoo.
9Ba dɛ sɔh dɛɛ kpa
kɛŋɔ nyujente ken,
dɛ́ pɛɡle lawɛ nɛra
baa wola nomɛlbwa dɔe
ó lɛɛ ba,
dɛ́ laɡ ba, dɛ́ tɛɡ ba kaa.
10Nɛra baa wola nomɛlbwa
dɔe ó lɛɛ ba la ɡwɛɡrɔ,
nyubinikpeɡ tena la
kpɔ ba bokpeɡa la pɔ ba nɛ.
11Nyubinikpeɡ tena la
yon lii ba nyu bini ŋɔ,
“Korowii waane laa.
O laa sie kpɔ,
waa yaa na bwa!”
12N Naa Korowii,
tɛr nyubinikpeɡ tena nɔ
deŋne,
dɛ bɛ nɛŋɡwɛɡra waa soh.
13Ɛrɛɛ nyubinikpeɡ tena
ɛɛ ba wona ɛ hen Korowii
sisawa ɔ?
Ɛrɛɛ baa lii ba nyu bini
kɛŋɔ, hen Korowii
aa ba deŋnee tɛr ɔ?
14N Naa Korowii, he dɛ na
nɛra siswɛm ne lokua wa,
dɛ yon dɛɛ cha ba.
He nɔn taa nɛŋɡwɛɡra
kpɔ ba nyu dɛɛ do,
hɛɛ cha ba saŋ bɛlbwa.
15Sɔɔh kpeɡri nyubinikpeɡ tena
ne wechɔɡ-ɛɛra
aa dɔa la nyoa,
ba wechɔɡa baa ɛa la wa,
tɛr ba deŋne ka tel kɛŋɔ,
baa ɡela kwaraa.
16N Naa Korowii, henee kooro
saŋ bɛlbwa dɛɛ la.
Nɛra baa dɛ tomɛ voɡa
ɛɛ heo le he harɛ ta.
17N Naa Korowii, he dɛ no
nɛŋɡwɛɡra wesoŋa,
dɛɛ do ba ɡbemba,
18dɛɛ lɛ bilalbii ne nɛra
baa dɛ fiɡ ba,
dɛ́ bol ba waa tɛɛ ba
ɡɛ aa ɛ nɛwɛnyini
waa won sewa nɔ
bɛ on aah kpa.",https://www.bible.com/bible/2012/PSA.10.MZW
