verse_number,english_verse,translation_verse
23,"“A virgin will have a baby boy, and he will be called Immanuel,” which means “God is with us.”","«Bukɔ wʋlʋ ta na yǝri baarʋ tɩn wʋ́ ba o ja pugǝ o lʋ bǝkǝrǝ, yɩ baá bǝŋi bu wʋm yɩrɩ nɩ Emanuyɛlɩ.» O yɩrɩ dɩm kʋntʋ kuri mʋ yɩ Wɛ wʋra dɩdaanɩ dɩbam."
11,"From David to the time of the exile in Babylonia, the ancestors of Jesus were: David, Solomon , Rehoboam, Abijah, Asa, Jehoshaphat, Jehoram; Uzziah, Jotham, Ahaz, Hezekiah, Manasseh, Amon, Josiah, and Jehoiachin and his brothers.",Zʋzɩasɩ ma lʋ Yɩkonɩa dɩ o nyaana. Yɩkonɩa mɩmaŋa kam nɩ mʋ ba jaanɩ Yisɩrayɛlɩ tiinǝ bam ba vu ba yagɩ Babilɔnɩ tɩʋ nɩ.
16,"From the exile to the birth of Jesus, his ancestors were: Jehoiachin, Shealtiel, Zerubbabel, Abiud, Eliakim, Azor, Zadok, Achim; Eliud, Eleazar, Matthan, Jacob, and Joseph, the husband of Mary, the mother of Jesus, who is called the Messiah.","Zakɔbɩ ma lʋ Zʋzɛfʋ, wʋntʋ mʋ jigi Mari barʋ. Mari dɛɛn ma ba o lʋ Zezi wʋlʋ ba na bǝŋi nɩ Krisi."
14,more to the birth of the Messiah. The Birth of Jesus (Luke,Azori ma lʋ Sadoki. Sadoki ma lʋ Akimi. Akimi ma lʋ Eliyudi.
18,"This is how Jesus Christ was born. A young woman named Mary was engaged to Joseph from King David's family. But before they were married, she learned that she was going to have a baby by God's Holy Spirit.","Ba na lʋgɩ Zezi Krisi te tɩn mʋ tɩntʋ. O nu Mari dɩ Zʋzɛfʋ tiinǝ maama dɛɛn ya sɛ sɩ ba pa ba zʋ daanɩ, yɩ Mari daa ta wʋ ve o barʋ wʋm te. Maŋa kam kʋntʋ nɩ o ma ba o ja pugǝ dɩ Wɛ Joro dam."
19,Joseph was a good man and did not want to embarrass Mary in front of everyone. So he decided to quietly call off the wedding.,"Zʋzɛfʋ wʋlʋ o na lagɩ o zʋ tɩn maa yɩ nɔn-ŋʋm. O maa ba lagɩ sɩ o pa cavɩɩra ja o kaanɩ wʋm nɔɔna maama yigǝ nɩ. O ma bʋŋɩ sɩ o daanɩ o yag-o, sɩ nɔɔna yɩ zaŋɩ ba lwarɩ."
20,"While Joseph was thinking about this, an angel from the Lord appeared to him in a dream. The angel said, “Joseph, the baby that Mary will have is from the Holy Spirit. Go ahead and marry her.","O na bʋŋɩ kʋntʋ tɩn, Baŋa-Wɛ malɛka ma ba o te o dɩndwɩa wʋnɩ, yɩ ka ta dɩd-o ka wɩ: «Zʋzɛfʋ, Pɛ Davidi dwi tu, yɩ pa n wʋ cɔgɩ sɩ n joŋi Mari n ma n ji n kaanɩ. Bɛŋwaanɩ, o na jɩgɩ pugǝ kam tɩn, kʋ yɩ Wɛ Joro kʋm dam ŋwaanɩ mʋ."
21,"Then after her baby is born, name him Jesus, because he will save his people from their sins.”","O lagɩ o lʋ bǝkǝrǝ mʋ, sɩ n pa o yɩrɩ nɩ Zezi, bɛŋwaanɩ oó ba o vrɩ o nɔɔna ba lwarɩm wʋnɩ o yagɩ.»"
24,"After Joseph woke up, he and Mary were soon married, just as the Lord's angel had told him to do.","Zʋzɛfʋ na dɔ o zaŋɩ tɩn, o ma sɛ o kɩ Baŋa-Wɛ malɛka kam na tagɩ nɩ o kɩ te tɩn. O ma sɛ o joŋi Mari o ja vu sɔŋɔ."
25,But they did not sleep together before her baby was born. Then Joseph named him Jesus.,O ma wʋ pǝni dɩd-o sɩ kʋ vu kʋ yi o na lʋgɩ bu wʋm maŋa kalʋ tɩn. O laan ma pa o yɩrɩ nɩ Zezi.
