verse_number,english_verse,translation_verse
1,In the beginning God created the heavens and the earth.,Le gɔmedzedzea me Mawu wɔ dziƒo kple anyigba.
2,"The earth was barren, with no form of life; it was under a roaring ocean covered with darkness. But the Spirit of God was moving over the water. The First Day","Ke anyigba le nyama, nɔnɔme meli nɛ o, ele ƒuƒlu, eye viviti do ɖe tsi gbana la ŋku me, eye Mawu ƒe Gbɔgbɔ le agba sam le tsia dzi."
3,"God said, “I command light to shine!” And light started shining.",Eye Mawu gblɔ be: Kekeli nedo! Eye kekeli do.
4,God looked at the light and saw that it was good. He separated light from darkness,Eye Mawu kpɔ kekelia bena enyo. Eye Mawu ma kekeli la kple viviti la dome.
5,"and named the light “Day” and the darkness “Night.” Evening came, then morning—that was the first day. The Second Day","Mawu yɔ kekeli la be ŋkeke; ke viviti la eyɔe be zã. Ale zã do, eye ŋu ke, eya nye ŋkeke gbãtɔ."
6,"God said, “I command a dome to separate the water above it from the water below it.”","Eye Mawu gblɔ be: Alili nenɔ tsia titina, be wòanye dometsonu anɔ tsi kple tsi dome!"
8,"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day","Eye Mawu yɔ alilia be dziƒo. Ale zã do, eye ŋu ke, eya nye ŋkeke evelia."
9,"God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened.","Eye Mawu gblɔ be: Tsi, si le dziƒoa te la, neƒo ƒu ɖe teƒe ɖeka, bena ƒuƒuiƒe nadze! Eye wòva me nenema."
10,"God named the dry ground “Land,” and he named the water “Ocean.” God looked at what he had done and saw that it was good.","Mawu yɔ ƒuƒuiƒe la be anyigba, ke tsi ƒoƒua la eyɔe be atsiaƒu. Eye Mawu kpo bena enyo."
11,"God said, “I command the earth to produce all kinds of plants, including fruit trees and grain.” And that's what happened.","Eye Mawu gblɔ be: Anyigba nemie gbe fẽwo, nu miemie, siwo tsea ku, kple ati tseku, siwo tsena wo tɔ wo tɔwoe, esiwo me ku le, le anyigba la dzi. Eye wòva me nenema."
12,"The earth produced all kinds of vegetation. God looked at what he had done, and it was good.","Anyigba mie gbe fẽwo, nu miemie, siwo tsea ku wo tɔ wo tɔwoe, kple ati, siwo tsena, siwo me ku le, wo tɔ wo tɔwoe. Eye Mawu kpo bena enyo."
13,"Evening came, then morning—that was the third day. The Fourth Day","Ale zã do, eye ŋu ke, eya nye ŋkeke etɔ̃lia."
