verse_number,english_verse,translation_verse
1,In the beginning God created the heavens and the earth.,"Mpiin na Uwumbɔr nan naan kitiŋ,"
2,"The earth was barren, with no form of life; it was under a roaring ocean covered with darkness. But the Spirit of God was moving over the water. The First Day","le kitiŋ aa nan kpa liker. Nnyun, ni mbɔmbɔɔn ŋmeen le nan bi ni kookoo. Uwumbɔr Aafuur Nyaan mu le nan bi nnyun ngbaan aapaacham."
3,"God said, “I command light to shine!” And light started shining.","Le Uwumbɔr bui ke, “Nwiihn ŋa,” le mu ŋa."
4,God looked at the light and saw that it was good. He separated light from darkness,"U nan kan ke nwiihn ngbaan ŋan, le u yakr nwiihn ni mbɔmbɔɔn,"
5,"and named the light “Day” and the darkness “Night.” Evening came, then morning—that was the first day. The Second Day","ki yin nwiihn ke “Nwiin pu,” ki yin mbɔmbɔɔn ke “Kinyeek,” le ki nan joor ki woln kichakpiik ni. Njan aataak daal le na."
8,"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day",le Uwumbɔr yin nima ke “Kitaapaak.” Le ni ki joor ki ki woln kichakpiik ni. Winlee daal le na.
9,"God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened.","Uwumbɔr nan ki bui ke, “Nnyun mu bi kitiŋ pu na kpaan tɔb chee ki cha kitiŋ.” Le mu ŋa kina."
10,"God named the dry ground “Land,” and he named the water “Ocean.” God looked at what he had done and saw that it was good.","Uwumbɔr nan yin nnyun aah kaa bi nin chee na ke “Kitiŋ,” ki yin mu aah kuun doon nin chee na ke “Nnyusakpem.” U nan kan ke ni ŋan."
11,"God said, “I command the earth to produce all kinds of plants, including fruit trees and grain.” And that's what happened.","Le u bui ke, “Tisufar aabɔŋ ti lu njikaabim na, ni isui i lu ŋisubil na, ni tijikaar mɔk aabɔŋ, punn ni.” Le ni ŋa kina."
12,"The earth produced all kinds of vegetation. God looked at what he had done, and it was good.",Le tisufar ni isui mɔmɔk lu ŋisubil ni tijikaar mɔk aabɔŋ ki moo pɔr kpee. U nan kan ke ni ŋan.
13,"Evening came, then morning—that was the third day. The Fourth Day",Le ni ki joor ki ki woln kichakpiik ni. Wintaa daal le na.
14,"God said, “I command lights to appear in the sky and to separate day from night and to show the time for seasons, special days, and years.","Uwumbɔr nan ki bui ke, “Iwiihn nya ki li bi kitaapaak aan ki yakr nwiin pu ni kinyeek. Cha i yakr n‑yoonn, kitaak ki ti saa kitaak, ni njim ki ti saa njim, ni libiln ki ti saa libiln."
15,I command them to shine on the earth.” And that's what happened.,Iwiihn ngbaan li wiin kitaapaak ki woln kitiŋ pu.” Le ni ŋa kina.
16,"God made two powerful lights, the brighter one to rule the day and the other to rule the night. He also made the stars.","Uwumbɔr nan naan iwiin sakpiin ilee la, nwiin li wiin nwiin pu, uŋmal li wiin kinyeek; u nan naan iŋmabi mu."
17,"Then God put these lights in the sky to shine on the earth,",Uwumbɔr nan di i ŋa kitaapaak aan i li wiin kitiŋ pu.
18,"to rule day and night, and to separate light from darkness. God looked at what he had done, and it was good.","I li bi nwiin pu ni kinyeek, ki yakr nwiihn ni mbɔmbɔɔn tɔb chee. U nan kan ke ni ŋan."
